"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"MU";"2502052";"Bernardino Batista (PB)";"1946";"1100";"1525";"1660";"1314";"1144";"1220"
"MU";"2502102";"Boa Ventura (PB)";"4480";"2700";"3240";"4000";"4100";"3485";"3310"
"MU";"2502151";"Boa Vista (PB)";"6000";"5000";"6272";"5800";"5000";"4500";"4000"
"MU";"2502201";"Bom Jesus (PB)";"1580";"1106";"1500";"1785";"1843";"1632";"1812"
"MU";"2502300";"Bom Sucesso (PB)";"5781";"2890";"2833";"3399";"4079";"4800";"5664"
"MU";"2502409";"Bonito de Santa Fé (PB)";"7800";"4680";"5616";"6639";"6772";"6433";"5790"
"MU";"2502508";"Boqueirão (PB)";"10200";"8800";"8894";"10000";"10200";"9900";"8962"
"MU";"2502607";"Igaracy (PB)";"5894";"3536";"4597";"6206";"7447";"7900";"6715"
"MU";"2502706";"Borborema (PB)";"1770";"1582";"1431";"1740";"1854";"1698";"1753"
"MU";"2502805";"Brejo do Cruz (PB)";"11527";"5763";"5475";"6570";"7884";"7213";"7096"
"MU";"2502904";"Brejo dos Santos (PB)";"3542";"1771";"1735";"2082";"2498";"2947";"3234"
"MU";"2503001";"Caaporã (PB)";"1000";"941";"1400";"1180";"980";"1000";"1037"
"MU";"2503100";"Cabaceiras (PB)";"3900";"3000";"3217";"3700";"3300";"2400";"2600"
"MU";"2503209";"Cabedelo (PB)";"259";"271";"246";"240";"165";"127";"159"
"MU";"2503308";"Cachoeira dos Índios (PB)";"6100";"3660";"4472";"5770";"5350";"5128";"6000"
"MU";"2503407";"Cacimba de Areia (PB)";"4651";"2325";"2425";"2600";"2560";"3000";"3150"
"MU";"2503506";"Cacimba de Dentro (PB)";"6500";"5525";"5231";"5350";"5513";"5788";"5360"
"MU";"2503555";"Cacimbas (PB)";"1838";"1108";"1265";"1300";"1200";"1180";"1239"
"MU";"2503605";"Caiçara (PB)";"9800";"9042";"8730";"6467";"5429";"6265";"7685"
"MU";"2503704";"Cajazeiras (PB)";"15100";"10060";"12967";"16870";"17798";"17178";"17338"
"MU";"2503753";"Cajazeirinhas (PB)";"7263";"3632";"3600";"4320";"5184";"5300";"6309"
"MU";"2503803";"Caldas Brandão (PB)";"3690";"3250";"2990";"2913";"1991";"2340";"3000"
"MU";"2503902";"Camalaú (PB)";"4547";"2800";"2449";"2850";"3363";"3531";"3187"
"MU";"2504009";"Campina Grande (PB)";"20931";"17500";"18000";"17000";"16600";"14800";"12500"
"MU";"2504033";"Capim (PB)";"1712";"1564";"1704";"1667";"1720";"1530";"1243"
"MU";"2504074";"Caraúbas (PB)";"4120";"2586";"2542";"2620";"2360";"2478";"2017"
"MU";"2504108";"Carrapateira (PB)";"2170";"1519";"2000";"2326";"1869";"1877";"1936"
"MU";"2504157";"Casserengue (PB)";"3960";"4000";"4400";"4300";"4042";"4244";"3623"
"MU";"2504207";"Catingueira (PB)";"8100";"4455";"5176";"5693";"4830";"4686";"4921"
"MU";"2504306";"Catolé do Rocha (PB)";"15101";"9060";"9015";"10818";"12982";"13367";"12213"
"MU";"2504355";"Caturité (PB)";"6480";"6000";"5900";"6800";"6710";"6100";"5887"
"MU";"2504405";"Conceição (PB)";"12056";"7836";"9403";"10531";"10322";"9806";"10786"
"MU";"2504504";"Condado (PB)";"7010";"3505";"3435";"4437";"5324";"6143";"7310"
"MU";"2504603";"Conde (PB)";"2400";"1980";"2471";"2700";"2850";"3277";"2339"
"MU";"2504702";"Congo (PB)";"3200";"2100";"2201";"2270";"2052";"2072";"1590"
"MU";"2504801";"Coremas (PB)";"10426";"6256";"6381";"7976";"9571";"11341";"12661"
"MU";"2504850";"Coxixola (PB)";"1765";"1235";"1255";"1180";"1008";"1058";"647"
"MU";"2504900";"Cruz do Espírito Santo (PB)";"2300";"2025";"1883";"1980";"1878";"1769";"1986"
"MU";"2505006";"Cubati (PB)";"3400";"2180";"2806";"2302";"2561";"2740";"2466"
"MU";"2505105";"Cuité (PB)";"7044";"5987";"5029";"4920";"5805";"6037";"8563"
"MU";"2505204";"Cuitegi (PB)";"2340";"2100";"2205";"2256";"2181";"2230";"2163"
"MU";"2505238";"Cuité de Mamanguape (PB)";"3480";"2390";"2920";"2980";"3200";"3469";"4158"
"MU";"2505279";"Curral de Cima (PB)";"6650";"4450";"5619";"6068";"6470";"7100";"6912"
"MU";"2505303";"Curral Velho (PB)";"3464";"2100";"2940";"3428";"3497";"3147";"3210"
"MU";"2505352";"Damião (PB)";"3800";"3534";"3600";"3500";"3290";"3619";"3600"
"MU";"2505402";"Desterro (PB)";"5016";"3009";"3314";"3000";"2600";"2900";"3045"
"MU";"2505501";"Vista Serrana (PB)";"1440";"720";"684";"850";"1020";"970";"1144"
"MU";"2505600";"Diamante (PB)";"5008";"3000";"3600";"4300";"4515";"4289";"3860"
"MU";"2505709";"Dona Inês (PB)";"6062";"5212";"5311";"5539";"4952";"5367";"5263"
"MU";"2505808";"Duas Estradas (PB)";"2425";"2700";"2468";"2537";"2446";"2782";"3264"
"MU";"2505907";"Emas (PB)";"5454";"2817";"2890";"3300";"2980";"3695";"3880"
"MU";"2506004";"Esperança (PB)";"6700";"6030";"7055";"6700";"6030";"6080";"5610"
"MU";"2506103";"Fagundes (PB)";"6424";"5400";"5566";"6100";"5600";"5400";"5200"
"MU";"2506202";"Frei Martinho (PB)";"2100";"1785";"1590";"1500";"1650";"1570";"2636"
"MU";"2506251";"Gado Bravo (PB)";"8200";"6900";"7518";"9000";"9400";"9300";"8500"
"MU";"2506301";"Guarabira (PB)";"12703";"12603";"13152";"12531";"12090";"12535";"14153"
"MU";"2506400";"Gurinhém (PB)";"16800";"15000";"13851";"15230";"15666";"15100";"18000"
"MU";"2506509";"Gurjão (PB)";"4900";"3100";"3127";"3500";"3019";"2968";"1924"
"MU";"2506608";"Ibiara (PB)";"5004";"3100";"4030";"4634";"4402";"4182";"3972"
"MU";"2506707";"Imaculada (PB)";"7835";"4484";"4925";"5888";"5200";"4576";"4805"
"MU";"2506806";"Ingá (PB)";"11754";"10100";"10772";"11240";"10816";"10921";"10900"
"MU";"2506905";"Itabaiana (PB)";"12400";"11144";"11701";"12227";"11687";"11100";"10000"
"MU";"2507002";"Itaporanga (PB)";"13712";"8913";"10696";"13000";"13650";"13100";"11135"
"MU";"2507101";"Itapororoca (PB)";"7965";"6923";"7528";"7916";"7445";"7662";"7734"
"MU";"2507200";"Itatuba (PB)";"11172";"10200";"10608";"11474";"11517";"12703";"13000"
"MU";"2507309";"Jacaraú (PB)";"6876";"3440";"4365";"4500";"5112";"4800";"6800"
"MU";"2507408";"Jericó (PB)";"7836";"3918";"3840";"4608";"5530";"6337";"6736"
"MU";"2507507";"João Pessoa (PB)";"3269";"3009";"4250";"4632";"4838";"5120";"4679"
"MU";"2507606";"Juarez Távora (PB)";"3200";"2656";"2431";"2800";"2940";"3100";"2180"
"MU";"2507705";"Juazeirinho (PB)";"5540";"3324";"4200";"3904";"4442";"5152";"4225"
"MU";"2507804";"Junco do Seridó (PB)";"2353";"1529";"1775";"1508";"1732";"1802";"1964"
"MU";"2507903";"Juripiranga (PB)";"3056";"2964";"2728";"2554";"2470";"2530";"2100"
"MU";"2508000";"Juru (PB)";"8440";"3532";"4203";"5000";"4800";"6537";"6864"
"MU";"2508109";"Lagoa (PB)";"3400";"1700";"1615";"1938";"2325";"2028";"2393"
"MU";"2508208";"Lagoa de Dentro (PB)";"4986";"4276";"4318";"4285";"4758";"6162";"8016"
"MU";"2508307";"Lagoa Seca (PB)";"3954";"3200";"4240";"4050";"3800";"3500";"3800"
"MU";"2508406";"Lastro (PB)";"1704";"1193";"1372";"2236";"2415";"2300";"2935"
"MU";"2508505";"Livramento (PB)";"4800";"2640";"3051";"3257";"3765";"3200";"3040"
"MU";"2508554";"Logradouro (PB)";"3029";"3451";"3120";"2998";"3151";"3252";"3994"
"MU";"2508604";"Lucena (PB)";"546";"409";"380";"430";"492";"452";"430"
"MU";"2508703";"Mãe d'Água (PB)";"2449";"1224";"1320";"1500";"1400";"1288";"1353"
"MU";"2508802";"Malta (PB)";"4200";"2100";"1995";"2493";"2992";"3500";"4130"
"MU";"2508901";"Mamanguape (PB)";"6200";"3760";"4324";"4669";"4512";"4331";"3984"
"MU";"2509008";"Manaíra (PB)";"6700";"3680";"4139";"4500";"4100";"5450";"5723"
"MU";"2509057";"Marcação (PB)";"710";"500";"470";"510";"530";"561";"440"
"MU";"2509107";"Mari (PB)";"7680";"6000";"7200";"10165";"11735";"10904";"10704"
"MU";"2509156";"Marizópolis (PB)";"1669";"1168";"1271";"1470";"1535";"1283";"1433"
"MU";"2509206";"Massaranduba (PB)";"12800";"10000";"7832";"7500";"6500";"5900";"6504"
"MU";"2509305";"Mataraca (PB)";"2196";"1840";"1748";"1638";"1670";"1533";"1349"
"MU";"2509339";"Matinhas (PB)";"1200";"1140";"1100";"900";"960";"900";"1000"
"MU";"2509370";"Mato Grosso (PB)";"2800";"1400";"1372";"1646";"1975";"1987";"2201"
"MU";"2509396";"Maturéia (PB)";"2917";"1950";"1840";"2100";"2000";"2100";"1995"
"MU";"2509404";"Mogeiro (PB)";"9272";"8800";"9352";"10287";"11120";"12270";"10000"
"MU";"2509503";"Montadas (PB)";"1298";"1233";"1478";"1750";"1645";"1727";"1460"
"MU";"2509602";"Monte Horebe (PB)";"2780";"1889";"2427";"2530";"2358";"1812";"1584"
"MU";"2509701";"Monteiro (PB)";"23400";"14000";"15278";"16973";"18277";"19800";"17831"
"MU";"2509800";"Mulungu (PB)";"9700";"10670";"12200";"14771";"14476";"15140";"16326"
"MU";"2509909";"Natuba (PB)";"4125";"4041";"4100";"3965";"3273";"3907";"3900"
"MU";"2510006";"Nazarezinho (PB)";"4987";"2999";"6404";"7397";"7508";"7184";"7407"
"MU";"2510105";"Nova Floresta (PB)";"1700";"1445";"1313";"1200";"1344";"1300";"1056"
"MU";"2510204";"Nova Olinda (PB)";"3500";"2000";"2300";"2645";"2700";"2295";"2249"
"MU";"2510303";"Nova Palmeira (PB)";"3900";"2340";"2833";"1944";"1652";"1486";"1560"
"MU";"2510402";"Olho d'Água (PB)";"10600";"6850";"7350";"8650";"8600";"8900";"8455"
"MU";"2510501";"Olivedos (PB)";"3128";"2189";"2803";"2541";"2159";"2504";"2880"
"MU";"2510600";"Ouro Velho (PB)";"4100";"2500";"2221";"2500";"2394";"2513";"2789"
"MU";"2510659";"Parari (PB)";"1600";"1120";"1138";"1350";"1593";"1900";"1586"
"MU";"2510709";"Passagem (PB)";"1806";"903";"898";"980";"800";"900";"945"
"MU";"2510808";"Patos (PB)";"14021";"7010";"8400";"9700";"9650";"11200";"11760"
"MU";"2510907";"Paulista (PB)";"20223";"12134";"12376";"14851";"16820";"15989";"19965"
"MU";"2511004";"Pedra Branca (PB)";"3517";"2100";"2520";"3176";"3239";"3120";"3057"
"MU";"2511103";"Pedra Lavrada (PB)";"4318";"2581";"2820";"2364";"2009";"1808";"1709"
"MU";"2511202";"Pedras de Fogo (PB)";"3062";"2845";"2987";"2687";"3469";"3248";"3812"
"MU";"2511301";"Piancó (PB)";"17200";"10320";"13416";"16441";"18578";"19000";"16150"
"MU";"2511400";"Picuí (PB)";"8900";"8188";"6959";"7500";"7725";"6870";"8100"
"MU";"2511509";"Pilar (PB)";"5730";"5386";"5116";"4714";"4998";"4217";"4367"
"MU";"2511608";"Pilões (PB)";"2407";"2286";"2435";"2900";"3190";"3349";"1399"
"MU";"2511707";"Pilõezinhos (PB)";"1440";"1583";"1789";"1616";"1703";"1735";"1918"
"MU";"2511806";"Pirpirituba (PB)";"4335";"4384";"4577";"4706";"4472";"4595";"4312"
"MU";"2511905";"Pitimbu (PB)";"730";"699";"747";"835";"700";"616";"594"
"MU";"2512002";"Pocinhos (PB)";"5200";"4500";"5100";"6300";"6700";"6900";"5800"
"MU";"2512036";"Poço Dantas (PB)";"1728";"1037";"1400";"1680";"1679";"1497";"1220"
"MU";"2512077";"Poço de José de Moura (PB)";"4800";"2980";"3602";"4200";"4103";"3892";"4156"
"MU";"2512101";"Pombal (PB)";"25185";"15111";"15413";"18495";"20739";"21000";"25018"
"MU";"2512200";"Prata (PB)";"3750";"2100";"2181";"2400";"2300";"2185";"2680"
"MU";"2512309";"Princesa Isabel (PB)";"10236";"6118";"6950";"7800";"7750";"8718";"8806"
"MU";"2512408";"Puxinanã (PB)";"4000";"3650";"4268";"3800";"3200";"3300";"3030"
"MU";"2512507";"Queimadas (PB)";"20599";"18100";"17200";"15000";"14500";"14950";"14957"
"MU";"2512606";"Quixaba (PB)";"1670";"968";"1151";"1220";"1100";"1045";"1098"
"MU";"2512705";"Remígio (PB)";"5400";"4485";"4800";"5300";"5565";"5286";"3700"
"MU";"2512721";"Pedro Régis (PB)";"3200";"2960";"2634";"2580";"2610";"2497";"2620"
"MU";"2512747";"Riachão (PB)";"4200";"3900";"2973";"2855";"2541";"2639";"2602"
"MU";"2512754";"Riachão do Bacamarte (PB)";"1902";"1864";"1901";"1602";"1282";"1501";"1500"
"MU";"2512762";"Riachão do Poço (PB)";"2100";"1800";"2142";"2518";"2380";"1920";"2230"
"MU";"2512788";"Riacho de Santo Antônio (PB)";"2435";"1700";"1800";"2100";"2170";"1828";"1600"
"MU";"2512804";"Riacho dos Cavalos (PB)";"11000";"5500";"5390";"6468";"7761";"8925";"7944"
"MU";"2512903";"Rio Tinto (PB)";"2961";"3000";"3100";"3250";"2896";"2512";"2260"
"MU";"2513000";"Salgadinho (PB)";"1470";"1082";"1100";"1200";"1000";"980";"989"
"MU";"2513109";"Salgado de São Félix (PB)";"7552";"6200";"5833";"5522";"5336";"4985";"4829"
"MU";"2513158";"Santa Cecília (PB)";"4200";"3600";"4300";"4200";"3900";"4100";"4500"
"MU";"2513208";"Santa Cruz (PB)";"5400";"2970";"5371";"6000";"5726";"5960";"5300"
"MU";"2513307";"Santa Helena (PB)";"6600";"4290";"5975";"7349";"8010";"9448";"10814"
"MU";"2513356";"Santa Inês (PB)";"4000";"2300";"2645";"3206";"3687";"3318";"3715"
"MU";"2513406";"Santa Luzia (PB)";"8441";"5065";"5285";"5173";"5570";"5300";"5565"
"MU";"2513505";"Santana de Mangueira (PB)";"5400";"3240";"3726";"4371";"4458";"4235";"4320"
"MU";"2513604";"Santana dos Garrotes (PB)";"9300";"5580";"7254";"9134";"9317";"9100";"7735"
"MU";"2513653";"Joca Claudino (PB)";"1200";"846";"1200";"1400";"1559";"1227";"1374"
"MU";"2513703";"Santa Rita (PB)";"4010";"3290";"3700";"3592";"3770";"4222";"4433"
"MU";"2513802";"Santa Teresinha (PB)";"8700";"4080";"4900";"5690";"5600";"5900";"6195"
"MU";"2513851";"Santo André (PB)";"3854";"2400";"2355";"2435";"2517";"2391";"1949"
"MU";"2513901";"São Bento (PB)";"10800";"6480";"6610";"7932";"9518";"10464";"10054"
"MU";"2513927";"São Bentinho (PB)";"5923";"2962";"2902";"3482";"4092";"4020";"4745"
"MU";"2513943";"São Domingos do Cariri (PB)";"2300";"1800";"1640";"1600";"1580";"1200";"1100"
"MU";"2513968";"São Domingos (PB)";"3890";"2334";"2380";"3094";"3713";"4262";"5084"
"MU";"2513984";"São Francisco (PB)";"2800";"1890";"2810";"3400";"3370";"3381";"3492"
"MU";"2514008";"São João do Cariri (PB)";"7316";"4121";"4009";"4500";"4800";"4560";"3556"
"MU";"2514107";"São João do Tigre (PB)";"3990";"2500";"2377";"2800";"3304";"3138";"2741"
"MU";"2514206";"São José da Lagoa Tapada (PB)";"7173";"4479";"6050";"8176";"8054";"7560";"8060"
"MU";"2514305";"São José de Caiana (PB)";"5227";"3100";"3720";"4836";"4932";"4340";"3689"
"MU";"2514404";"São José de Espinharas (PB)";"15605";"8805";"10473";"11521";"11521";"13200";"13860"
"MU";"2514453";"São José dos Ramos (PB)";"4413";"4000";"4185";"4574";"3825";"4007";"4100"
"MU";"2514503";"São José de Piranhas (PB)";"18568";"10140";"17367";"17669";"17264";"16367";"16460"
"MU";"2514552";"São José de Princesa (PB)";"4800";"2800";"3242";"3800";"3700";"4481";"4706"
"MU";"2514602";"São José do Bonfim (PB)";"2045";"1400";"1500";"1700";"1600";"1900";"1905"
"MU";"2514651";"São José do Brejo do Cruz (PB)";"4980";"2490";"2365";"2838";"3405";"4018";"4780"
"MU";"2514701";"São José do Sabugi (PB)";"5400";"3240";"3400";"3200";"3683";"3867";"4331"
"MU";"2514800";"São José dos Cordeiros (PB)";"2900";"2030";"1918";"2250";"2877";"3020";"3009"
"MU";"2514909";"São Mamede (PB)";"8136";"4670";"5569";"5500";"4675";"5143";"5400"
"MU";"2515005";"São Miguel de Taipu (PB)";"3026";"2844";"2937";"3473";"4109";"4413";"4423"
"MU";"2515104";"São Sebastião de Lagoa de Roça (PB)";"3200";"3008";"2600";"2500";"2250";"1890";"2500"
"MU";"2515203";"São Sebastião do Umbuzeiro (PB)";"3600";"2450";"2312";"2700";"3186";"3026";"3064"
"MU";"2515302";"Sapé (PB)";"7900";"6400";"6720";"7076";"6745";"6937";"7120"
"MU";"2515401";"São Vicente do Seridó (PB)";"3843";"2690";"3214";"2854";"2568";"2989";"3288"
"MU";"2515500";"Serra Branca (PB)";"4100";"2870";"2993";"3400";"4012";"4800";"4410"
"MU";"2515609";"Serra da Raiz (PB)";"2300";"2516";"2750";"1969";"1980";"1915";"2107"
"MU";"2515708";"Serra Grande (PB)";"2020";"1200";"1560";"1716";"1887";"1698";"1664"
"MU";"2515807";"Serra Redonda (PB)";"3650";"2800";"2357";"2600";"2700";"2900";"2859"
"MU";"2515906";"Serraria (PB)";"4936";"4808";"3957";"4593";"4906";"4625";"4269"
"MU";"2515930";"Sertãozinho (PB)";"2137";"1865";"1824";"2188";"2049";"2351";"2399"
"MU";"2515971";"Sobrado (PB)";"2170";"1370";"1800";"2149";"2280";"2340";"2800"
"MU";"2516003";"Solânea (PB)";"10917";"9516";"9101";"10510";"9750";"10224";"10561"
"MU";"2516102";"Soledade (PB)";"10839";"7587";"8334";"7545";"6413";"6100";"5185"
"MU";"2516151";"Sossêgo (PB)";"2600";"2210";"1900";"1800";"1530";"1805";"1900"
"MU";"2516201";"Sousa (PB)";"21400";"12840";"16288";"20540";"21567";"22600";"24091"
"MU";"2516300";"Sumé (PB)";"10000";"6400";"6118";"6935";"7478";"7104";"6506"
"MU";"2516409";"Tacima (PB)";"16832";"15300";"14803";"14374";"14174";"14569";"14740"
"MU";"2516508";"Taperoá (PB)";"7500";"4750";"5300";"8113";"8158";"7342";"8019"
"MU";"2516607";"Tavares (PB)";"12282";"5684";"6800";"6750";"6700";"7900";"8295"
"MU";"2516706";"Teixeira (PB)";"2488";"1644";"1859";"1900";"1800";"1859";"1952"
"MU";"2516755";"Tenório (PB)";"1780";"979";"952";"900";"985";"1053";"958"
"MU";"2516805";"Triunfo (PB)";"8436";"5062";"6299";"7470";"6870";"6500";"7378"
"MU";"2516904";"Uiraúna (PB)";"6600";"4620";"6063";"8462";"8960";"7636";"8200"
"MU";"2517001";"Umbuzeiro (PB)";"6578";"5100";"5350";"5500";"5100";"5000";"5128"
"MU";"2517100";"Várzea (PB)";"3553";"2132";"2561";"2994";"3332";"3100";"3255"
"MU";"2517209";"Vieirópolis (PB)";"3800";"2660";"3254";"3851";"3658";"3350";"4392"
"MU";"2517407";"Zabelê (PB)";"2475";"1732";"1698";"2000";"1907";"1811";"1652"
"MU";"2600054";"Abreu e Lima (PE)";"1000";"800";"1000";"1100";"1209";"987";"626"
"MU";"2600104";"Afogados da Ingazeira (PE)";"13053";"11216";"9763";"10602";"8407";"9109";"10427"
"MU";"2600203";"Afrânio (PE)";"27800";"22000";"16288";"14850";"15210";"15400";"14000"
"MU";"2600302";"Agrestina (PE)";"23150";"15470";"16100";"17000";"15891";"16628";"15100"
"MU";"2600401";"Água Preta (PE)";"16204";"16200";"18736";"18542";"19361";"24093";"24313"
"MU";"2600500";"Águas Belas (PE)";"49370";"36500";"31832";"33612";"37349";"35616";"36369"
"MU";"2600609";"Alagoinha (PE)";"13390";"10980";"11845";"11026";"12000";"9000";"9541"
"MU";"2600708";"Aliança (PE)";"4084";"4280";"4300";"5116";"4222";"3884";"4202"
"MU";"2600807";"Altinho (PE)";"27500";"17500";"18800";"20000";"23421";"24771";"23600"
"MU";"2600906";"Amaraji (PE)";"4835";"4979";"5213";"5234";"5278";"6158";"6388"
"MU";"2601003";"Angelim (PE)";"9673";"5439";"5000";"8112";"8118";"7187";"6293"
"MU";"2601052";"Araçoiaba (PE)";"500";"210";"300";"280";"200";"295";"400"
"MU";"2601102";"Araripina (PE)";"30400";"24000";"21535";"20703";"22200";"20378";"18490"
"MU";"2601201";"Arcoverde (PE)";"16000";"10000";"10800";"9000";"9500";"11000";"11500"
"MU";"2601300";"Barra de Guabiraba (PE)";"7255";"7000";"7556";"7984";"8875";"8495";"7235"
"MU";"2601409";"Barreiros (PE)";"9049";"8800";"8400";"8817";"9614";"10038";"10906"
"MU";"2601508";"Belém de Maria (PE)";"5157";"5300";"6634";"6789";"6101";"7135";"6850"
"MU";"2601607";"Belém do São Francisco (PE)";"9521";"7000";"6156";"5469";"5792";"5728";"5954"
"MU";"2601706";"Belo Jardim (PE)";"22270";"19701";"17000";"14500";"12850";"11678";"11556"
"MU";"2601805";"Betânia (PE)";"10000";"5309";"4490";"4350";"4750";"4582";"4223"
"MU";"2601904";"Bezerros (PE)";"21000";"8500";"15785";"14993";"15563";"15983";"15532"
"MU";"2602001";"Bodocó (PE)";"64656";"48000";"46806";"50676";"48343";"44843";"43431"
"MU";"2602100";"Bom Conselho (PE)";"61276";"45900";"41000";"50520";"54932";"54116";"45941"
"MU";"2602209";"Bom Jardim (PE)";"8240";"8098";"7898";"8526";"8302";"8250";"7700"
"MU";"2602308";"Bonito (PE)";"17146";"16289";"15475";"14710";"16300";"16706";"16130"
"MU";"2602407";"Brejão (PE)";"15521";"13238";"11914";"12709";"12145";"12685";"9964"
"MU";"2602506";"Brejinho (PE)";"3655";"3160";"2117";"3670";"2777";"3207";"3300"
"MU";"2602605";"Brejo da Madre de Deus (PE)";"15250";"11850";"13800";"12800";"13378";"12086";"11400"
"MU";"2602704";"Buenos Aires (PE)";"1565";"1500";"1300";"2032";"2543";"2970";"3148"
"MU";"2602803";"Buíque (PE)";"65000";"45000";"46000";"42000";"45000";"46000";"45000"
"MU";"2602902";"Cabo de Santo Agostinho (PE)";"3100";"1687";"1500";"2600";"2100";"2821";"2903"
"MU";"2603009";"Cabrobó (PE)";"17401";"15000";"15082";"12287";"11445";"10594";"7661"
"MU";"2603108";"Cachoeirinha (PE)";"18239";"14935";"15389";"15849";"14822";"12323";"13011"
"MU";"2603207";"Caetés (PE)";"19849";"13277";"10600";"16784";"15571";"15388";"16907"
"MU";"2603306";"Calçado (PE)";"6125";"3260";"2600";"6500";"4025";"4303";"4129"
"MU";"2603405";"Calumbi (PE)";"2500";"1392";"1509";"1360";"1250";"1255";"1321"
"MU";"2603454";"Camaragibe (PE)";"1500";"1000";"800";"1200";"1094";"1130";"1180"
"MU";"2603504";"Camocim de São Félix (PE)";"6578";"6907";"7252";"6892";"8040";"8806";"7780"
"MU";"2603603";"Camutanga (PE)";"1012";"1130";"1100";"1298";"1420";"1400";"1263"
"MU";"2603702";"Canhotinho (PE)";"34160";"31396";"26350";"28588";"30666";"30650";"28585"
"MU";"2603801";"Capoeiras (PE)";"25636";"19600";"14700";"19576";"17339";"17371";"17126"
"MU";"2603900";"Carnaíba (PE)";"13032";"10136";"7957";"9100";"8259";"8466";"9168"
"MU";"2603926";"Carnaubeira da Penha (PE)";"8442";"5764";"4033";"3774";"3488";"3433";"4396"
"MU";"2604007";"Carpina (PE)";"6800";"5500";"5000";"6034";"6330";"6800";"6058"
"MU";"2604106";"Caruaru (PE)";"33250";"23250";"27800";"23000";"22134";"21372";"20200"
"MU";"2604155";"Casinhas (PE)";"5500";"5606";"5842";"7642";"5500";"5900";"6285"
"MU";"2604205";"Catende (PE)";"3114";"3000";"5147";"4763";"4761";"5361";"6120"
"MU";"2604304";"Cedro (PE)";"8500";"7150";"6950";"7769";"7887";"8081";"3661"
"MU";"2604403";"Chã de Alegria (PE)";"2000";"1500";"1350";"1749";"1888";"1560";"1280"
"MU";"2604502";"Chã Grande (PE)";"4230";"3850";"4159";"3948";"3800";"2732";"2698"
"MU";"2604601";"Condado (PE)";"2029";"1860";"1858";"2155";"1734";"1655";"1364"
"MU";"2604700";"Correntes (PE)";"32804";"28947";"23000";"31000";"32968";"31028";"27519"
"MU";"2604809";"Cortês (PE)";"1202";"1336";"1471";"956";"1305";"1100";"864"
"MU";"2604908";"Cumaru (PE)";"9700";"8932";"8900";"11124";"10762";"10460";"9700"
"MU";"2605004";"Cupira (PE)";"10250";"8250";"9850";"9500";"9773";"9429";"8200"
"MU";"2605103";"Custódia (PE)";"30000";"20000";"17800";"20000";"21000";"19000";"18000"
"MU";"2605152";"Dormentes (PE)";"16200";"13500";"9472";"8310";"8430";"9700";"8000"
"MU";"2605202";"Escada (PE)";"2800";"2650";"2910";"2713";"2717";"3273";"3079"
"MU";"2605301";"Exu (PE)";"50145";"40000";"43782";"43711";"43500";"41352";"38606"
"MU";"2605400";"Feira Nova (PE)";"4060";"3800";"3450";"6105";"5332";"5300";"4702"
"MU";"2605459";"Fernando de Noronha (PE)";"102";"100";"90";"...";"120";"100";"122"
"MU";"2605509";"Ferreiros (PE)";"2000";"1818";"1746";"2077";"2240";"2222";"1868"
"MU";"2605608";"Flores (PE)";"16000";"11159";"9354";"10985";"12140";"11385";"11250"
"MU";"2605707";"Floresta (PE)";"23500";"18857";"14982";"13268";"14268";"13200";"13017"
"MU";"2605806";"Frei Miguelinho (PE)";"7586";"7381";"8891";"10652";"7000";"6915";"6500"
"MU";"2605905";"Gameleira (PE)";"1551";"1896";"1914";"1833";"1697";"1977";"1849"
"MU";"2606002";"Garanhuns (PE)";"36800";"29200";"22000";"25195";"25478";"25976";"22254"
"MU";"2606101";"Glória do Goitá (PE)";"10200";"3800";"3400";"7449";"5964";"5130";"4444"
"MU";"2606200";"Goiana (PE)";"2000";"1767";"1803";"2145";"2084";"1693";"2100"
"MU";"2606309";"Granito (PE)";"18700";"14500";"15552";"19495";"20500";"15932";"13734"
"MU";"2606408";"Gravatá (PE)";"26940";"22000";"22800";"21658";"20395";"16969";"17067"
"MU";"2606507";"Iati (PE)";"25938";"20760";"17000";"21909";"22398";"19639";"22700"
"MU";"2606606";"Ibimirim (PE)";"16000";"10000";"9200";"8600";"9000";"8200";"8000"
"MU";"2606705";"Ibirajuba (PE)";"10500";"9000";"8500";"10000";"10430";"9754";"9000"
"MU";"2606804";"Igarassu (PE)";"4426";"1080";"900";"2000";"1781";"2033";"3200"
"MU";"2606903";"Iguaracy (PE)";"15647";"11292";"8371";"12106";"9674";"10304";"12060"
"MU";"2607000";"Inajá (PE)";"9000";"7000";"7500";"8000";"8600";"7000";"6000"
"MU";"2607109";"Ingazeira (PE)";"6469";"4313";"3321";"4473";"3611";"3644";"4473"
"MU";"2607208";"Ipojuca (PE)";"2000";"1872";"1300";"2100";"2100";"2205";"2278"
