"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"MU";"1100320";"São Miguel do Guaporé (RO)";"275003";"268104";"254362";"256339";"265421";"256829";"247679"
"MU";"1100338";"Nova Mamoré (RO)";"439615";"461573";"490298";"518311";"565040";"610056";"651221"
"MU";"1100346";"Alvorada D'Oeste (RO)";"236973";"241826";"241850";"247977";"260624";"263913";"269695"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"154310";"159276";"165944";"179572";"187193";"192322";"198631"
"MU";"1100403";"Alto Paraíso (RO)";"220562";"219720";"221872";"236100";"258895";"280650";"298448"
"MU";"1100452";"Buritis (RO)";"431297";"441629";"454748";"460992";"458876";"477919";"501909"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"131027";"135700";"136804";"147619";"152638";"147372";"151429"
"MU";"1100601";"Cacaulândia (RO)";"250332";"249882";"239817";"243935";"245529";"250680";"259123"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"317725";"334933";"347723";"376300";"390284";"403091";"433288"
"MU";"1100809";"Candeias do Jamari (RO)";"178466";"184273";"184782";"197708";"204124";"203176";"219785"
"MU";"1100908";"Castanheiras (RO)";"107274";"104658";"103463";"108859";"111974";"112474";"109587"
"MU";"1100924";"Chupinguaia (RO)";"295873";"302427";"298301";"317650";"360455";"357566";"350128"
"MU";"1100940";"Cujubim (RO)";"151213";"146325";"146686";"161574";"168770";"180316";"197405"
"MU";"1101005";"Governador Jorge Teixeira (RO)";"372401";"263085";"263640";"265120";"276082";"279947";"284364"
"MU";"1101104";"Itapuã do Oeste (RO)";"75080";"73071";"75702";"81438";"84506";"87846";"87722"
"MU";"1101203";"Ministro Andreazza (RO)";"115755";"120122";"119537";"122546";"128252";"134436";"136175"
"MU";"1101302";"Mirante da Serra (RO)";"105471";"109068";"110969";"117450";"124192";"124804";"124788"
"MU";"1101401";"Monte Negro (RO)";"257043";"257349";"258038";"273072";"290367";"288694";"299342"
"MU";"1101435";"Nova União (RO)";"126513";"132292";"133635";"135796";"140449";"143411";"148214"
"MU";"1101450";"Parecis (RO)";"157501";"155437";"160015";"169207";"171220";"174178";"176568"
"MU";"1101468";"Pimenteiras do Oeste (RO)";"121781";"116700";"119218";"118169";"142601";"133875";"126889"
"MU";"1101476";"Primavera de Rondônia (RO)";"71181";"72273";"72879";"72923";"79478";"76826";"74448"
"MU";"1101484";"São Felipe D'Oeste (RO)";"93022";"93767";"94617";"99811";"101515";"102749";"104548"
"MU";"1101492";"São Francisco do Guaporé (RO)";"422150";"435470";"435786";"446567";"450615";"444565";"440897"
"MU";"1101500";"Seringueiras (RO)";"183999";"187029";"186278";"189773";"206046";"217499";"216579"
"MU";"1101559";"Teixeirópolis (RO)";"95241";"96109";"96628";"97200";"98334";"101089";"101765"
"MU";"1101609";"Theobroma (RO)";"259440";"250974";"240540";"257790";"267952";"262109";"278846"
"MU";"1101708";"Urupá (RO)";"156434";"161774";"162567";"166665";"167596";"172656";"179442"
"MU";"1101757";"Vale do Anari (RO)";"121179";"113210";"114935";"128586";"141624";"144962";"145140"
"MU";"1101807";"Vale do Paraíso (RO)";"158892";"158658";"163118";"165588";"166138";"168720";"173956"
"MU";"1200013";"Acrelândia (AC)";"173174";"173341";"176318";"181757";"191969";"195409";"185933"
"MU";"1200054";"Assis Brasil (AC)";"35454";"38796";"39318";"41791";"43684";"41070";"43859"
"MU";"1200104";"Brasiléia (AC)";"186067";"197588";"202584";"209888";"222677";"223278";"213298"
"MU";"1200138";"Bujari (AC)";"210211";"204816";"206059";"216695";"217238";"215995";"189023"
"MU";"1200179";"Capixaba (AC)";"118040";"138677";"147187";"153850";"155881";"157224";"159884"
"MU";"1200203";"Cruzeiro do Sul (AC)";"33985";"32974";"35266";"33417";"35890";"33997";"34367"
"MU";"1200252";"Epitaciolândia (AC)";"78894";"82683";"83657";"82515";"88726";"119258";"121618"
"MU";"1200302";"Feijó (AC)";"73355";"80990";"81324";"83632";"87198";"98938";"110674"
"MU";"1200328";"Jordão (AC)";"6303";"6100";"6293";"5421";"5678";"5668";"7226"
"MU";"1200336";"Mâncio Lima (AC)";"13733";"14108";"13271";"12964";"12517";"13789";"14892"
"MU";"1200344";"Manoel Urbano (AC)";"24391";"25532";"29657";"31633";"33710";"38260";"42375"
"MU";"1200351";"Marechal Thaumaturgo (AC)";"16900";"17100";"14828";"9997";"10297";"10052";"11264"
"MU";"1200385";"Plácido de Castro (AC)";"140928";"163722";"168993";"174038";"183986";"188080";"189046"
"MU";"1200393";"Porto Walter (AC)";"6720";"8050";"9711";"8020";"7461";"7779";"8017"
"MU";"1200401";"Rio Branco (AC)";"466240";"487534";"498418";"513259";"542781";"524670";"366091"
"MU";"1200427";"Rodrigues Alves (AC)";"9503";"9804";"8641";"8439";"9234";"10793";"14788"
"MU";"1200435";"Santa Rosa do Purus (AC)";"4698";"6500";"5163";"6138";"5628";"6151";"7232"
"MU";"1200450";"Senador Guiomard (AC)";"249490";"213369";"222955";"223769";"225359";"238987";"269448"
"MU";"1200500";"Sena Madureira (AC)";"214368";"223329";"224450";"267220";"280223";"292829";"282816"
"MU";"1200609";"Tarauacá (AC)";"134134";"134121";"133165";"132773";"136161";"146359";"153620"
"MU";"1200708";"Xapuri (AC)";"209250";"206291";"219082";"225991";"235432";"240117";"216684"
"MU";"1200807";"Porto Acre (AC)";"143659";"169042";"171149";"176466";"184477";"190266";"216264"
"MU";"1300029";"Alvarães (AM)";"729";"619";"620";"626";"446";"420";"465"
"MU";"1300060";"Amaturá (AM)";"1720";"1720";"1800";"1400";"1139";"1160";"1243"
"MU";"1300086";"Anamã (AM)";"781";"780";"630";"692";"590";"480";"450"
"MU";"1300102";"Anori (AM)";"2400";"2126";"1871";"1871";"1800";"1750";"1209"
"MU";"1300144";"Apuí (AM)";"146200";"132890";"145000";"156000";"160000";"132182";"136675"
"MU";"1300201";"Atalaia do Norte (AM)";"115";"156";"170";"156";"120";"97";"106"
"MU";"1300300";"Autazes (AM)";"52355";"46404";"46076";"53000";"44658";"39024";"40456"
"MU";"1300409";"Barcelos (AM)";"135";"85";"91";"85";"65";"23";"22"
"MU";"1300508";"Barreirinha (AM)";"51704";"45891";"46867";"41089";"37829";"40080";"30099"
"MU";"1300607";"Benjamin Constant (AM)";"829";"796";"785";"718";"722";"658";"719"
"MU";"1300631";"Beruri (AM)";"1945";"1010";"1281";"1740";"1336";"1350";"1250"
"MU";"1300680";"Boa Vista do Ramos (AM)";"18215";"19098";"19671";"16726";"14624";"14833";"14177"
"MU";"1300706";"Boca do Acre (AM)";"84954";"90758";"93880";"94844";"99586";"200317";"201050"
"MU";"1300805";"Borba (AM)";"5200";"6020";"6120";"4000";"4082";"3833";"3640"
"MU";"1300839";"Caapiranga (AM)";"1821";"1820";"2282";"2003";"2026";"1631";"1944"
"MU";"1300904";"Canutama (AM)";"15730";"23092";"22640";"21958";"23458";"23343";"25000"
"MU";"1301001";"Carauari (AM)";"6074";"5737";"6570";"6409";"5446";"5508";"4992"
"MU";"1301100";"Careiro (AM)";"26000";"19862";"21645";"23478";"26018";"15448";"22910"
"MU";"1301159";"Careiro da Várzea (AM)";"60800";"60355";"62716";"55406";"41502";"46830";"55827"
"MU";"1301209";"Coari (AM)";"3250";"2350";"2756";"3100";"2950";"3049";"2105"
"MU";"1301308";"Codajás (AM)";"1952";"2316";"3000";"3200";"2500";"2249";"2315"
"MU";"1301407";"Eirunepé (AM)";"18180";"17500";"20714";"14000";"12380";"12000";"11133"
"MU";"1301506";"Envira (AM)";"17291";"18000";"14108";"13832";"17800";"19750";"19500"
"MU";"1301605";"Fonte Boa (AM)";"2700";"2468";"2253";"2820";"3006";"2532";"2212"
"MU";"1301654";"Guajará (AM)";"45650";"41000";"32900";"37000";"29169";"25839";"26674"
"MU";"1301704";"Humaitá (AM)";"25000";"21166";"20980";"18500";"20781";"19869";"22824"
